index,time,freq,tau
0,2016-12-29 09:20:27.563000,2.1023216900e+08,
1,2016-12-29 12:51:57.494000,2.1023180627e+08,4.2064908283e-04
2,2016-12-29 12:52:24.743000,2.1023198017e+08,3.6000101852e-04
3,2016-12-29 12:58:22.741000,2.1023163025e+08,2.9253438049e-04
4,2016-12-29 13:01:23.271000,2.1023187759e+08,2.8022469095e-04
5,2016-12-29 13:18:55.860000,2.1023080045e+08,3.5599659630e-04
6,2016-12-29 13:27:21.286000,2.1023121837e+08,3.5499659630e-04
7,2016-12-29 13:27:37.269000,2.1023122696e+08,3.8852337938e-04
8,2016-12-29 13:27:53.477000,2.1023097292e+08,3.7972284670e-04
9,2016-12-29 13:28:17.316000,2.1023110656e+08,4.2019248515e-04
10,2016-12-29 13:28:33.249000,2.1023139673e+08,4.2454592490e-04
11,2016-12-29 13:29:17.069000,2.1023141868e+08,3.4654352157e-04
12,2016-12-29 13:29:33.177000,2.1023135038e+08,3.7873776104e-04
13,2016-12-29 13:29:49.156000,2.1023147869e+08,4.5359122369e-04
14,2016-12-29 13:30:05.445000,2.1023146677e+08,3.7401252600e-04
15,2016-12-29 13:30:21.565000,2.1023156806e+08,3.0125448078e-04
16,2016-12-29 13:30:37.606000,2.1023171044e+08,3.8248470463e-04
17,2016-12-29 13:31:40.668000,2.1023126131e+08,4.0100019365e-04
18,2016-12-29 13:32:40.166000,2.1023163919e+08,3.3782525039e-04
19,2016-12-29 13:33:53.318000,2.1023147193e+08,3.5804469584e-04
20,2016-12-29 13:47:50.935000,2.1023152839e+08,2.5721055628e-04
21,2016-12-29 13:49:02.286000,2.1023120611e+08,3.6675852137e-04
22,2016-12-29 13:49:17.758000,2.1023140031e+08,3.3216158385e-04
23,2016-12-29 13:49:33.281000,2.1023159218e+08,2.5682652247e-04
24,2016-12-29 13:49:48.802000,2.1023152845e+08,2.3320768936e-04
25,2016-12-29 13:50:39.743000,2.1023117456e+08,3.1133819730e-04
26,2016-12-29 13:55:11.290000,2.1023085204e+08,2.9940340377e-04
27,2016-12-29 13:59:43.091000,2.1023124715e+08,3.2997705897e-04
28,2016-12-29 14:04:16.789000,2.1023074156e+08,4.0385288381e-04
29,2016-12-29 14:08:52.805000,2.1023144347e+08,3.3292857162e-04
30,2016-12-29 14:13:26.478000,2.1023157001e+08,3.5772233535e-04
31,2016-12-29 14:17:57.748000,2.1023098168e+08,3.9593743105e-04
32,2016-12-29 14:22:28.809000,2.1023069699e+08,3.1360274110e-04
33,2016-12-29 14:27:00.514000,2.1023082405e+08,3.8087314565e-04
34,2016-12-29 14:31:31.973000,2.1022875570e+08,3.6973657117e-04
35,2016-12-29 14:36:03.453000,2.1022880554e+08,2.5037087738e-04
